Model,Accuracy,Sensitivity,Specificity,AUC
Logistic Regression,0.7379239465570401,0.6326797385620915,0.8060965283657917,0.8114315441107293
Decision Tree,0.6654676258992805,0.5764705882352941,0.7231160033869602,0.649793295811127
Random Forest,0.7733812949640287,0.5568627450980392,0.9136325148179509,0.8466658918718489
KNN,0.6824254881808839,0.7856209150326797,0.615580016934801,0.7524630173830751
Naive Bayes,0.7553956834532374,0.788235294117647,0.7341236240474175,0.7857244054833337
SVM,0.7317574511819116,0.673202614379085,0.7696867061812024,0.7992296325812289
XGBoost,0.7780061664953751,0.615686274509804,0.8831498729889924,0.8565456326476399
